3100	0	0	0	0	0	0	0	0	800	27	1127	38.2	1216	43.2	1264	46.9
3150	0	0	0	0	0	0	0	0	0	0	1116	38	1209	43	1257	46.8
3200	0	0	0	0	0	0	0	0	0	0	1104	37.7	1200	42.9	1251	46.7
3250	0	0	0	0	0	0	0	0	0	0	1091	37.5	1192	42.8	1244	46.6
3300	0	0	0	0	0	0	0	0	0	0	1079	37.3	1184	42.6	1237	46.5
3350	0	0	0	0	0	0	0	0	0	0	1066	37	1175	42.5	1230	46.3
3400	0	0	0	0	0	0	0	0	0	0	1052	36.7	1166	42.3	1223	46.2
3450	0	0	0	0	0	0	0	0	0	0	1038	36.4	1157	42.1	1216	46.1
3500	0	0	0	0	0	0	0	0	0	0	1023	36.1	1148	42	1209	46
3550	0	0	0	0	0	0	0	0	0	0	1008	35.8	1139	41.8	1201	45.8
3600	0	0	0	0	0	0	0	0	0	0	991	35.4	1130	41.6	1194	45.7
3650	0	0	0	0	0	0	0	0	0	0	973	35	1120	41.4	1186	45.6
3700	0	0	0	0	0	0	0	0	0	0	953	34.5	1110	41.2	1179	45.4
3750	0	0	0	0	0	0	0	0	0	0	931	34	1100	41	1171	45.3
3800	0	0	0	0	0	0	0	0	0	0	906	33.4	1089	40.8	1163	45.1
3850	0	0	0	0	0	0	0	0	0	0	877	32.6	1078	40.5	1155	45
3900	0	0	0	0	0	0	0	0	0	0	800	30.5	1067	40.3	1146	44.8
3950	0	0	0	0	0	0	0	0	0	0	0	0	1055	40.1	1138	44.6
4000	0	0	0	0	0	0	0	0	0	0	0	0	1043	39.8	1130	44.4
4050	0	0	0	0	0	0	0	0	0	0	0	0	1031	39.5	1121	44.3
4100	0	0	0	0	0	0	0	0	0	0	0	0	1018	39.2	1112	44.1
4150	0	0	0	0	0	0	0	0	0	0	0	0	1004	38.9	1103	43.9
4200	0	0	0	0	0	0	0	0	0	0	0	0	989	38.5	1093	43.7
4250	0	0	0	0	0	0	0	0	0	0	0	0	973	38.1	1084	43.4
4300	0	0	0	0	0	0	0	0	0	0	0	0	957	37.7	1073	43.2
4350	0	0	0	0	0	0	0	0	0	0	0	0	939	37.2	1063	43
4400	0	0	0	0	0	0	0	0	0	0	0	0	919	36.7	1053	42.7
4450	0	0	0	0	0	0	0	0	0	0	0	0	896	36.1	1042	42.5
4500	0	0	0	0	0	0	0	0	0	0	0	0	869	35.3	1030	42.2
4550	0	0	0	0	0	0	0	0	0	0	0	0	800	33.3	1019	41.9
4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006	41.6
4650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993	41.2
4700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	980	40.9
4750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965	40.5
4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	40.1
4850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933	39.6
4900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	39.1
4950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894	38.5
5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	37.8
5094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	35.6
